LTLA16CD,LTLA16NM,UTLA16CD,UTLA16NM,ObjectId
E07000146,King's Lynn and West Norfolk,E10000020,Norfolk,1
E06000001,Hartlepool,E06000001,Hartlepool,2
E07000147,North Norfolk,E10000020,Norfolk,3
E06000002,Middlesbrough,E06000002,Middlesbrough,4
E07000148,Norwich,E10000020,Norfolk,5
E07000084,Basingstoke and Deane,E10000014,Hampshire,6
E07000149,South Norfolk,E10000020,Norfolk,7
E06000003,Redcar and Cleveland,E06000003,Redcar and Cleveland,8
E06000004,Stockton-on-Tees,E06000004,Stockton-on-Tees,9
E07000150,Corby,E10000021,Northamptonshire,10
E07000085,East Hampshire,E10000014,Hampshire,11
E07000086,Eastleigh,E10000014,Hampshire,12
E06000005,Darlington,E06000005,Darlington,13
E07000151,Daventry,E10000021,Northamptonshire,14
E07000152,East Northamptonshire,E10000021,Northamptonshire,15
E06000006,Halton,E06000006,Halton,16
E07000087,Fareham,E10000014,Hampshire,17
E07000088,Gosport,E10000014,Hampshire,18
E06000007,Warrington,E06000007,Warrington,19
E07000153,Kettering,E10000021,Northamptonshire,20
E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen,21
E07000154,Northampton,E10000021,Northamptonshire,22
E07000089,Hart,E10000014,Hampshire,23
E07000090,Havant,E10000014,Hampshire,24
E06000009,Blackpool,E06000009,Blackpool,25
E07000155,South Northamptonshire,E10000021,Northamptonshire,26
E07000156,Wellingborough,E10000021,Northamptonshire,27
E06000010,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",28
E07000091,New Forest,E10000014,Hampshire,29
E07000092,Rushmoor,E10000014,Hampshire,30
E06000011,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,31
E07000163,Craven,E10000023,North Yorkshire,32
E07000164,Hambleton,E10000023,North Yorkshire,33
E07000093,Test Valley,E10000014,Hampshire,34
E06000012,North East Lincolnshire,E06000012,North East Lincolnshire,35
E06000013,North Lincolnshire,E06000013,North Lincolnshire,36
E07000094,Winchester,E10000014,Hampshire,37
E07000165,Harrogate,E10000023,North Yorkshire,38
E07000166,Richmondshire,E10000023,North Yorkshire,39
E06000014,York,E06000014,York,40
E07000095,Broxbourne,E10000015,Hertfordshire,41
E07000096,Dacorum,E10000015,Hertfordshire,42
E06000015,Derby,E06000015,Derby,43
E07000167,Ryedale,E10000023,North Yorkshire,44
E07000168,Scarborough,E10000023,North Yorkshire,45
E06000016,Leicester,E06000016,Leicester,46
E07000098,Hertsmere,E10000015,Hertfordshire,47
E07000099,North Hertfordshire,E10000015,Hertfordshire,48
E06000017,Rutland,E06000017,Rutland,49
E07000169,Selby,E10000023,North Yorkshire,50
E07000170,Ashfield,E10000024,Nottinghamshire,51
E07000102,Three Rivers,E10000015,Hertfordshire,52
E06000018,Nottingham,E06000018,Nottingham,53
E07000103,Watford,E10000015,Hertfordshire,54
E07000171,Bassetlaw,E10000024,Nottinghamshire,55
E06000019,"Herefordshire, County of",E06000019,"Herefordshire, County of",56
E07000105,Ashford,E10000016,Kent,57
E07000172,Broxtowe,E10000024,Nottinghamshire,58
E06000020,Telford and Wrekin,E06000020,Telford and Wrekin,59
E07000106,Canterbury,E10000016,Kent,60
E07000173,Gedling,E10000024,Nottinghamshire,61
E06000021,Stoke-on-Trent,E06000021,Stoke-on-Trent,62
E07000107,Dartford,E10000016,Kent,63
E07000174,Mansfield,E10000024,Nottinghamshire,64
E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,65
E07000108,Dover,E10000016,Kent,66
E07000175,Newark and Sherwood,E10000024,Nottinghamshire,67
E06000023,"Bristol, City of",E06000023,"Bristol, City of",68
E07000109,Gravesham,E10000016,Kent,69
E07000006,South Bucks,E10000002,Buckinghamshire,70
E07000176,Rushcliffe,E10000024,Nottinghamshire,71
E07000177,Cherwell,E10000025,Oxfordshire,72
E07000178,Oxford,E10000025,Oxfordshire,73
E07000179,South Oxfordshire,E10000025,Oxfordshire,74
E07000180,Vale of White Horse,E10000025,Oxfordshire,75
E07000181,West Oxfordshire,E10000025,Oxfordshire,76
E07000187,Mendip,E10000027,Somerset,77
E07000188,Sedgemoor,E10000027,Somerset,78
E07000189,South Somerset,E10000027,Somerset,79
E07000190,Taunton Deane,E10000027,Somerset,80
E07000191,West Somerset,E10000027,Somerset,81
E07000192,Cannock Chase,E10000028,Staffordshire,82
E07000193,East Staffordshire,E10000028,Staffordshire,83
E07000194,Lichfield,E10000028,Staffordshire,84
E07000195,Newcastle-under-Lyme,E10000028,Staffordshire,85
E07000196,South Staffordshire,E10000028,Staffordshire,86
E07000197,Stafford,E10000028,Staffordshire,87
E07000198,Staffordshire Moorlands,E10000028,Staffordshire,88
E07000199,Tamworth,E10000028,Staffordshire,89
E07000200,Babergh,E10000029,Suffolk,90
E07000201,Forest Heath,E10000029,Suffolk,91
E07000202,Ipswich,E10000029,Suffolk,92
E07000203,Mid Suffolk,E10000029,Suffolk,93
E07000204,St Edmundsbury,E10000029,Suffolk,94
E07000205,Suffolk Coastal,E10000029,Suffolk,95
E07000206,Waveney,E10000029,Suffolk,96
E07000207,Elmbridge,E10000030,Surrey,97
E07000208,Epsom and Ewell,E10000030,Surrey,98
E07000209,Guildford,E10000030,Surrey,99
E07000210,Mole Valley,E10000030,Surrey,100
E07000211,Reigate and Banstead,E10000030,Surrey,101
E07000212,Runnymede,E10000030,Surrey,102
E07000213,Spelthorne,E10000030,Surrey,103
E07000214,Surrey Heath,E10000030,Surrey,104
E07000007,Wycombe,E10000002,Buckinghamshire,105
E07000008,Cambridge,E10000003,Cambridgeshire,106
E07000009,East Cambridgeshire,E10000003,Cambridgeshire,107
E07000010,Fenland,E10000003,Cambridgeshire,108
E07000011,Huntingdonshire,E10000003,Cambridgeshire,109
E07000012,South Cambridgeshire,E10000003,Cambridgeshire,110
E07000026,Allerdale,E10000006,Cumbria,111
E07000027,Barrow-in-Furness,E10000006,Cumbria,112
E07000028,Carlisle,E10000006,Cumbria,113
E07000029,Copeland,E10000006,Cumbria,114
E07000030,Eden,E10000006,Cumbria,115
E07000031,South Lakeland,E10000006,Cumbria,116
E07000032,Amber Valley,E10000007,Derbyshire,117
E07000033,Bolsover,E10000007,Derbyshire,118
E07000034,Chesterfield,E10000007,Derbyshire,119
E07000035,Derbyshire Dales,E10000007,Derbyshire,120
E07000036,Erewash,E10000007,Derbyshire,121
E07000110,Maidstone,E10000016,Kent,122
E07000037,High Peak,E10000007,Derbyshire,123
E07000111,Sevenoaks,E10000016,Kent,124
E06000024,North Somerset,E06000024,North Somerset,125
E07000038,North East Derbyshire,E10000007,Derbyshire,126
E07000112,Shepway,E10000016,Kent,127
E06000025,South Gloucestershire,E06000025,South Gloucestershire,128
E07000039,South Derbyshire,E10000007,Derbyshire,129
E07000113,Swale,E10000016,Kent,130
E06000026,Plymouth,E06000026,Plymouth,131
E07000040,East Devon,E10000008,Devon,132
E07000114,Thanet,E10000016,Kent,133
E06000027,Torbay,E06000027,Torbay,134
E07000041,Exeter,E10000008,Devon,135
E07000115,Tonbridge and Malling,E10000016,Kent,136
E06000028,Bournemouth,E06000028,Bournemouth,137
E07000042,Mid Devon,E10000008,Devon,138
E07000116,Tunbridge Wells,E10000016,Kent,139
E06000029,Poole,E06000029,Poole,140
E06000030,Swindon,E06000030,Swindon,141
E06000031,Peterborough,E06000031,Peterborough,142
E06000032,Luton,E06000032,Luton,143
E06000033,Southend-on-Sea,E06000033,Southend-on-Sea,144
E06000034,Thurrock,E06000034,Thurrock,145
E06000035,Medway,E06000035,Medway,146
E06000036,Bracknell Forest,E06000036,Bracknell Forest,147
E06000037,West Berkshire,E06000037,West Berkshire,148
E06000038,Reading,E06000038,Reading,149
E06000039,Slough,E06000039,Slough,150
E06000040,Windsor and Maidenhead,E06000040,Windsor and Maidenhead,151
E06000041,Wokingham,E06000041,Wokingham,152
E06000042,Milton Keynes,E06000042,Milton Keynes,153
E06000043,Brighton and Hove,E06000043,Brighton and Hove,154
E06000044,Portsmouth,E06000044,Portsmouth,155
E06000045,Southampton,E06000045,Southampton,156
E06000046,Isle of Wight,E06000046,Isle of Wight,157
E06000047,County Durham,E06000047,County Durham,158
E06000049,Cheshire East,E06000049,Cheshire East,159
E06000050,Cheshire West and Chester,E06000050,Cheshire West and Chester,160
E06000051,Shropshire,E06000051,Shropshire,161
E06000052,Cornwall,E06000052,Cornwall,162
E06000053,Isles of Scilly,E06000053,Isles of Scilly,163
E06000054,Wiltshire,E06000054,Wiltshire,164
E06000055,Bedford,E06000055,Bedford,165
E06000056,Central Bedfordshire,E06000056,Central Bedfordshire,166
E06000057,Northumberland,E06000057,Northumberland,167
E07000004,Aylesbury Vale,E10000002,Buckinghamshire,168
E07000005,Chiltern,E10000002,Buckinghamshire,169
E07000043,North Devon,E10000008,Devon,170
E07000117,Burnley,E10000017,Lancashire,171
E07000044,South Hams,E10000008,Devon,172
E07000118,Chorley,E10000017,Lancashire,173
E07000119,Fylde,E10000017,Lancashire,174
E07000045,Teignbridge,E10000008,Devon,175
E07000120,Hyndburn,E10000017,Lancashire,176
E07000046,Torridge,E10000008,Devon,177
E07000121,Lancaster,E10000017,Lancashire,178
E07000047,West Devon,E10000008,Devon,179
E07000122,Pendle,E10000017,Lancashire,180
E07000048,Christchurch,E10000009,Dorset,181
E07000123,Preston,E10000017,Lancashire,182
E07000049,East Dorset,E10000009,Dorset,183
E07000124,Ribble Valley,E10000017,Lancashire,184
E07000050,North Dorset,E10000009,Dorset,185
E07000125,Rossendale,E10000017,Lancashire,186
E07000051,Purbeck,E10000009,Dorset,187
E07000126,South Ribble,E10000017,Lancashire,188
E07000052,West Dorset,E10000009,Dorset,189
E07000127,West Lancashire,E10000017,Lancashire,190
E07000053,Weymouth and Portland,E10000009,Dorset,191
E07000128,Wyre,E10000017,Lancashire,192
E07000061,Eastbourne,E10000011,East Sussex,193
E07000129,Blaby,E10000018,Leicestershire,194
E07000062,Hastings,E10000011,East Sussex,195
E07000130,Charnwood,E10000018,Leicestershire,196
E07000063,Lewes,E10000011,East Sussex,197
E07000131,Harborough,E10000018,Leicestershire,198
E07000064,Rother,E10000011,East Sussex,199
E07000132,Hinckley and Bosworth,E10000018,Leicestershire,200
E07000065,Wealden,E10000011,East Sussex,201
E07000133,Melton,E10000018,Leicestershire,202
E07000066,Basildon,E10000012,Essex,203
E07000134,North West Leicestershire,E10000018,Leicestershire,204
E07000067,Braintree,E10000012,Essex,205
E07000135,Oadby and Wigston,E10000018,Leicestershire,206
E07000068,Brentwood,E10000012,Essex,207
E07000136,Boston,E10000019,Lincolnshire,208
E07000069,Castle Point,E10000012,Essex,209
E07000070,Chelmsford,E10000012,Essex,210
E07000071,Colchester,E10000012,Essex,211
E07000072,Epping Forest,E10000012,Essex,212
E07000073,Harlow,E10000012,Essex,213
E07000074,Maldon,E10000012,Essex,214
E07000075,Rochford,E10000012,Essex,215
E07000076,Tendring,E10000012,Essex,216
E07000077,Uttlesford,E10000012,Essex,217
E07000078,Cheltenham,E10000013,Gloucestershire,218
E07000079,Cotswold,E10000013,Gloucestershire,219
E07000080,Forest of Dean,E10000013,Gloucestershire,220
E07000081,Gloucester,E10000013,Gloucestershire,221
E07000082,Stroud,E10000013,Gloucestershire,222
E07000083,Tewkesbury,E10000013,Gloucestershire,223
E08000035,Leeds,E11000006,West Yorkshire,224
E08000036,Wakefield,E11000006,West Yorkshire,225
E08000037,Gateshead,E11000007,Tyne and Wear,226
E09000001,City of London,E13000001,Inner London,227
E09000002,Barking and Dagenham,E13000002,Outer London,228
